atc;generic_name;adm_route;aware_who;aware_dk
A07AA09;vancomycin;oral;watch ;watch
J01;ANTIBACTERIALS FOR SYSTEMIC USE;;NA;NA
J01A;Tetracycline antibiotics;;NA;NA
J01B;AMPHENICOLS;;NA;NA
J01BA;Amphenicol antibacterials, systemic;;NA;NA
J01BA01;chloramphenicol;;access;access
J01BA02;thiamphenicol;;access;access
J01BA52;thiamphenicol, combinations;;NA;NA
J01C;BETA-LACTAM ANTIBACTERIALS, PENICILLINS;;NA;NA
J01CA;Penicillins with extended spectrum;;NA;NA
J01CA01;ampicillin;;access;access
J01CA02;pivampicillin;;access;access
J01CA03;carbenicillin;;watch;watch
J01CA04;amoxicillin;;access;access
J01CA05;carindacillin;;NA;NA
J01CA06;bacampicillin;;access;access
J01CA07;epicillin;;NA;NA
J01CA08;pivmecillinam;;access;access
J01CA09;azlocillin;;watch;watch
J01CA10;mezlocillin;;watch;watch
J01CA11;mecillinam;;access;access
J01CA12;piperacillin;;watch;watch
J01CA13;ticarcillin;;watch;watch
J01CA14;metampicillin;;NA;NA
J01CA15;talampicillin;;NA;NA
J01CA16;sulbenicillin;;watch;watch
J01CA17;temocillin;;watch;watch
J01CA18;hetacillin;;NA;NA
J01CA19;aspoxicillin;;NA;NA
J01CA20;Penicillins with extended spectrum combinations;;NA;NA
J01CA51;ampicillin, combinations;;NA;NA
J01CE;Beta-lactamase sensitive penicillins;;NA;NA
J01CE01;benzylpenicillin;;access;access
J01CE02;phenoxymethylpenicillin;;access;access
J01CE03;propicillin;;NA;NA
J01CE04;azidocillin;;NA;NA
J01CE05;pheneticillin;;watch;watch
J01CE06;penamecillin;;access;access
J01CE07;clometocillin;;access;access
J01CE08;benzathine benzylpenicillin;;access;access
J01CE09;procaine benzylpenicillin;;access;access
J01CE10;benzathine phenoxymethylpenicillin;;NA;NA
J01CE30;Beta-lactamase sensitive penicillin combinations;;NA;NA
J01CF;Beta-lactamase resistant penicillins;;NA;NA
J01CF01;dicloxacillin;;access;access
J01CF02;cloxacillin;;access;access
J01CF03;meticillin;;NA;NA
J01CF04;oxacillin;;access;access
J01CF05;flucloxacillin;;access;access
J01CF06;nafcillin;;access;access
J01CG;Beta-lactamase inhibitors, systemic penicillins;;NA;NA
J01CG01;sulbactam;;NA;NA
J01CG02;tazobactam;;NA;NA
J01CR;Combinations of penicillins, incl. beta-lactamase inhibitors;;NA;NA
J01CR01;ampicillin and beta-lactamase inhibitor;;access;access
J01CR02;amoxicillin and beta-lactamase inhibitor;;access;watch
J01CR03;ticarcillin and beta-lactamase inhibitor;;NA;NA
J01CR04;sultamicillin;;access;access
J01CR05;piperacillin and beta-lactamase inhibitor;;watch;watch
J01CR50;combinations of penicillins;;NA;NA
J01D;OTHER BETA-LACTAM ANTIBACTERIALS in ATC;;NA;NA
J01DB;First-generation cephalosporins;;NA;NA
J01DB01;cefalexin;;access;access
J01DB02;cefaloridine;;NA;NA
J01DB03;cefalotin;;access;access
J01DB04;cefazolin;;access;access
J01DB05;cefadroxil;;access;access
J01DB06;cefazedone;;access;access
J01DB07;cefatrizine;;access;access
J01DB08;cefapirin;;access;access
J01DB09;cefradine;;access;access
J01DB10;cefacetrile;;access;access
J01DB11;cefroxadine;;access;access
J01DB12;ceftezole;;access;access
J01DC;Second-generation cephalosporins;;NA;NA
J01DC01;cefoxitin;;watch;watch
J01DC02;cefuroxime;;watch;watch
J01DC03;cefamandole;;watch;watch
J01DC04;cefaclor;;watch;watch
J01DC05;cefotetan;;watch;watch
J01DC06;cefonicid;;watch;watch
J01DC07;cefotiam;;watch;watch
J01DC07;cefotiam;;watch;watch
J01DC08;loracarbef;;NA;NA
J01DC09;cefmetazole;;watch;watch
J01DC10;cefprozil;;watch;watch
J01DC11;ceforanide;;watch;watch
J01DC12;cefminox;;watch;watch
J01DC13;cefbuperazone;;watch;watch
J01DC14;flomoxef;;watch;watch
J01DD;Third-generation cephalosporins;;NA;NA
J01DD01;cefotaxime;;watch;watch
J01DD02;ceftazidime;;watch;watch
J01DD03;cefsulodin;;NA;NA
J01DD04;ceftriaxone;;watch;watch
J01DD05;cefmenoxime;;watch;watch
J01DD06;latamoxef;;watch;watch
J01DD07;ceftizoxime;;watch;watch
J01DD08;cefixime;;watch;watch
J01DD09;cefodizime;;watch;watch
J01DD10;cefetamet;;watch;watch
J01DD11;cefpiramide;;watch;watch
J01DD12;cefoperazone;;watch;watch
J01DD13;cefpodoxime;;watch;watch
J01DD14;ceftibuten;;watch;watch
